0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:37:05 +0800] "GET /web20/products/1/c_0037.jpg HTTP/1.1" 200 14818
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:37:05 +0800] "GET /web20/products/1/c_0039.jpg HTTP/1.1" 200 11124
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:37:05 +0800] "GET /web20/products/1/c_0038.jpg HTTP/1.1" 200 12121
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:37:05 +0800] "GET /web20/products/1/c_0004.jpg HTTP/1.1" 200 11304
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:37:05 +0800] "GET /web20/products/1/c_0040.jpg HTTP/1.1" 200 12138
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:37:05 +0800] "GET /web20/products/1/c_0041.jpg HTTP/1.1" 200 10001
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:37:05 +0800] "GET /web20/products/1/c_0042.jpg HTTP/1.1" 200 11684
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:37:05 +0800] "GET /web20/products/1/c_0043.jpg HTTP/1.1" 200 11569
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:37:05 +0800] "GET /web20/products/1/c_0044.jpg HTTP/1.1" 200 15429
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:37:05 +0800] "GET /web20/products/1/c_0045.jpg HTTP/1.1" 200 8203
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:37:05 +0800] "GET /web20/products/1/c_0046.jpg HTTP/1.1" 200 11843
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:37:05 +0800] "GET /web20/products/1/c_0047.jpg HTTP/1.1" 200 14207
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:37:05 +0800] "GET /web20/products/1/c_0048.jpg HTTP/1.1" 200 13634
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:37:05 +0800] "GET /web20/products/1/c_0049.jpg HTTP/1.1" 200 9141
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:37:05 +0800] "GET /web20/products/1/c_0005.jpg HTTP/1.1" 200 8225
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:37:05 +0800] "GET /web20/products/1/c_0050.jpg HTTP/1.1" 200 14223
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:37:05 +0800] "GET /web20/products/1/c_0006.jpg HTTP/1.1" 200 5570
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:37:05 +0800] "GET /web20/products/1/c_0007.jpg HTTP/1.1" 200 6813
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:37:05 +0800] "GET /web20/products/1/c_0008.jpg HTTP/1.1" 200 7486
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:37:05 +0800] "GET /web20/products/1/c_0009.jpg HTTP/1.1" 200 6976
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:37:14 +0800] "GET /web20/adminUpdateProductUI?pid=1 HTTP/1.1" 200 4517
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:37:14 +0800] "GET /web20/images/button_cancel.gif HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:37:14 +0800] "GET /web20/images/button_ok.gif HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:37:21 +0800] "GET /web20/adminUpdateProductUI?pid=10 HTTP/1.1" 200 4727
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:37:21 +0800] "GET /web20/images/button_cancel.gif HTTP/1.1" 404 1103
